date,Temperature,Humidity,Low,High
1/1/2002,26.3,74,216.2681955,313.7318045
2/1/2002,26.5,75,203.2681955,300.7318045
3/1/2002,27.9,74,101.2681955,198.7318045
4/1/2002,29.7,73,215.2681955,312.7318045
5/1/2002,28.7,76,175.2681955,272.7318045
6/1/2002,28,84,106.2681955,203.7318045
7/1/2002,28.3,83,124.2681955,221.7318045
8/1/2002,27.3,86,64.26819554,161.7318045
9/1/2002,27.2,86,65.26819554,162.7318045
10/1/2002,28,83,133.2681955,230.7318045
11/1/2002,27.5,84,141.2681955,238.7318045
12/1/2002,27.7,81,209.2681955,306.7318045
1/1/2003,26.3,76,202.2681955,299.7318045
2/1/2003,27.1,77,211.2681955,308.7318045
3/1/2003,28.3,80,248.2681955,345.7318045
4/1/2003,29.7,75,230.2681955,327.7318045
5/1/2003,28.6,83,55.26819554,152.7318045
6/1/2003,28.5,82,151.2681955,248.7318045
7/1/2003,27.2,87,97.26819554,194.7318045
8/1/2003,28,84,124.2681955,221.7318045
9/1/2003,27.3,86,77.26819554,174.7318045
10/1/2003,27,93,72.26819554,169.7318045
11/1/2003,27.7,83,155.2681955,252.7318045
12/1/2003,26.1,78,109.2681955,206.7318045
1/1/2004,26.5,78,185.2681955,282.7318045
2/1/2004,26.2,79,190.2681955,287.7318045
3/1/2004,27.9,79,192.2681955,289.7318045
4/1/2004,29.5,76,195.2681955,292.7318045
5/1/2004,28.9,81,126.2681955,223.7318045
6/1/2004,27.8,84,95.26819554,192.7318045
7/1/2004,27.3,86,97.26819554,194.7318045
8/1/2004,27.3,87,88.26819554,185.7318045
9/1/2004,27.7,87,112.2681955,209.7318045
10/1/2004,27.3,83,120.2681955,217.7318045
11/1/2004,27.9,79,189.2681955,286.7318045
12/1/2004,26.4,81,142.2681955,239.7318045
1/1/2005,25.8,78,206.2681955,303.7318045
2/1/2005,27,79,215.2681955,312.7318045
3/1/2005,27.7,76,226.2681955,323.7318045
4/1/2005,29.2,75,227.2681955,324.7318045
5/1/2005,29,80,141.2681955,238.7318045
6/1/2005,28.6,82,142.2681955,239.7318045
7/1/2005,27.2,87,85.26819554,182.7318045
8/1/2005,28.1,84,128.2681955,225.7318045
9/1/2005,27.8,83,96.26819554,193.7318045
10/1/2005,27.6,85,112.2681955,209.7318045
11/1/2005,27.4,82,112.2681955,209.7318045
12/1/2005,25.8,84,47.26819554,144.7318045
1/1/2006,26.2,81,132.2681955,229.7318045
2/1/2006,27.3,76,178.2681955,275.7318045
3/1/2006,27.9,79,192.2681955,289.7318045
4/1/2006,29,79,177.2681955,274.7318045
5/1/2006,28.4,82,129.2681955,226.7318045
6/1/2006,27.9,86,110.2681955,207.7318045
7/1/2006,27.4,88,75.26819554,172.7318045
8/1/2006,27.2,88,101.2681955,198.7318045
9/1/2006,27.1,87,90.26819554,187.7318045
10/1/2006,27.5,85,108.2681955,205.7318045
11/1/2006,28,82,168.2681955,265.7318045
12/1/2006,26.8,79,127.2681955,224.7318045
1/1/2007,26.1,80,100.2681955,197.7318045
2/1/2007,26.4,79,201.2681955,298.7318045
3/1/2007,27.9,79,192.2681955,289.7318045
4/1/2007,29.2,77,193.2681955,290.7318045
5/1/2007,28.4,84,115.2681955,212.7318045
6/1/2007,28.3,85,114.2681955,211.7318045
7/1/2007,27.3,87,77.26819554,174.7318045
8/1/2007,27.4,86,72.26819554,169.7318045
9/1/2007,27.5,86,60.26819554,157.7318045
10/1/2007,27.1,87,75.26819554,172.7318045
11/1/2007,26.6,82,84.26819554,181.7318045
12/1/2007,26.9,79,94.26819554,191.7318045
1/1/2008,26.2,80,108.2681955,205.7318045
2/1/2008,26.5,76,120.2681955,217.7318045
3/1/2008,27.3,77,204.2681955,301.7318045
4/1/2008,28.7,79,167.2681955,264.7318045
5/1/2008,27.9,85,117.2681955,214.7318045
6/1/2008,27.7,86,78.26819554,175.7318045
7/1/2008,27.4,86,124.2681955,221.7318045
8/1/2008,27.4,86,124.2681955,221.7318045
9/1/2008,27,87,61.26819554,158.7318045
10/1/2008,27.2,89,93.26819554,190.7318045
11/1/2008,26.7,85,83.26819554,180.7318045
12/1/2008,26.2,82,72.26819554,169.7318045
1/1/2009,25.1,80,121.4681955,218.9318045
2/1/2009,26.7,82,121.2681955,218.7318045
3/1/2009,28.6,78,196.9681955,294.4318045
4/1/2009,28.9,81,134.4681955,231.9318045
5/1/2009,28.3,84,98.66819554,196.1318045
6/1/2009,28.8,81,136.0681955,233.5318045
7/1/2009,27.2,86,65.06819554,162.5318045
8/1/2009,28.1,84,111.4681955,208.9318045
9/1/2009,27,87,32.06819554,129.5318045
10/1/2009,27.5,85,112.1681955,209.6318045
11/1/2009,27.4,81,81.46819554,178.9318045
12/1/2009,26.7,79,118.3681955,215.8318045
1/1/2010,25.1,78,121.4681955,218.9318045
2/1/2010,26.7,78,121.2681955,218.7318045
3/1/2010,28.6,78,196.9681955,294.4318045
4/1/2010,28.9,82,134.4681955,231.9318045
5/1/2010,28.2,87,98.66819554,196.1318045
6/1/2010,28.8,85,136.0681955,233.5318045
7/1/2010,27.2,89,65.06819554,162.5318045
8/1/2010,28.1,90,111.4681955,208.9318045
9/1/2010,27,91,32.06819554,129.5318045
10/1/2010,27.5,87,112.1681955,209.6318045
11/1/2010,27.4,83,81.46819554,178.9318045
12/1/2010,26.7,81,118.3681955,215.8318045
1/1/2011,26.3,75,88.56819554,186.0318045
2/1/2011,26.4,75,137.3681955,234.8318045
3/1/2011,27.4,75,143.4681955,240.9318045
4/1/2011,28,76,179.7681955,277.2318045
5/1/2011,28.7,81,123.5681955,221.0318045
6/1/2011,28,83,69.36819554,166.8318045
7/1/2011,27.7,82,109.7681955,207.2318045
8/1/2011,27.9,82,128.6681955,226.1318045
9/1/2011,27.2,85,56.46819554,153.9318045
10/1/2011,28.1,80,128.0681955,225.5318045
11/1/2011,27.5,82,95.46819554,192.9318045
12/1/2011,26.4,78,47.56819554,145.0318045
1/1/2012,26.6,78,86.96819554,184.4318045
2/1/2012,27.2,76,164.4681955,261.9318045
3/1/2012,28.1,78,175.6681955,273.1318045
4/1/2012,29,78,178.4681955,275.9318045
5/1/2012,28.2,83,136.6681955,234.1318045
6/1/2012,28.4,82,91.16819554,188.6318045
7/1/2012,27.5,85,97.16819554,194.6318045
8/1/2012,27.8,83,140.5681955,238.0318045
9/1/2012,26.6,88,47.96819554,145.4318045
10/1/2012,27.8,83,116.7681955,214.2318045
11/1/2012,27.8,83,111.2681955,208.7318045
12/1/2012,27.8,78,139.9681955,237.4318045
1/1/2013,26.5,78,101.7681955,199.2318045
2/1/2013,27.5,75,132.3681955,229.8318045
3/1/2013,28.5,76,224.3681955,321.8318045
4/1/2013,29.3,79,150.5681955,248.0318045
5/1/2013,29.3,82,131.0681955,228.5318045
6/1/2013,28.2,85,82.36819554,179.8318045
7/1/2013,27.3,85,93.96819554,191.4318045
8/1/2013,27.6,85,125.2681955,222.7318045
9/1/2013,27.7,85,67.36819554,164.8318045
10/1/2013,27.5,85,109.8681955,207.3318045
11/1/2013,27.6,82,116.0681955,213.5318045
12/1/2013,26.1,77,67.16819554,164.6318045
1/1/2014,25.3,76,126.2681955,223.7318045
2/1/2014,25.9,78,190.6681955,288.1318045
3/1/2014,27.9,77,234.2681955,331.7318045
4/1/2014,29.5,76,195.3681955,292.8318045
5/1/2014,29.4,81,147.2681955,244.7318045
6/1/2014,28.2,85,61.06819554,158.5318045
7/1/2014,27.7,85,80.16819554,177.6318045
8/1/2014,28,82,142.1681955,239.6318045
9/1/2014,27.6,84,107.5681955,205.0318045
10/1/2014,27.5,84,97.16819554,194.6318045
11/1/2014,27.6,85,123.4681955,220.9318045
12/1/2014,27.2,79,105.5681955,203.0318045
1/1/2015,25.6,79,143.2681955,240.7318045
2/1/2015,26,76,188.2681955,285.7318045
3/1/2015,27.9,75,220.0681955,317.5318045
4/1/2015,29.4,74,218.7681955,316.2318045
5/1/2015,29.7,76,170.5681955,268.0318045
6/1/2015,28.2,84,85.76819554,183.2318045
7/1/2015,28.6,83,118.4681955,215.9318045
8/1/2015,28.3,83,137.7681955,235.2318045
9/1/2015,27.6,86,105.6681955,203.1318045
10/1/2015,28.3,83,111.5681955,209.0318045
11/1/2015,28,83,136.4681955,233.9318045
12/1/2015,27.8,78,151.9681955,249.4318045
1/1/2016,27.9,78,200.0681955,297.5318045
2/1/2016,27.3,73,161.7681955,259.2318045
3/1/2016,28,75,230.0681955,327.5318045
4/1/2016,30.1,74,235.4681955,332.9318045
5/1/2016,29.9,79,120.1681955,217.6318045
6/1/2016,28.3,84,95.56819554,193.0318045
7/1/2016,28.3,84,109.7681955,207.2318045
8/1/2016,28.4,83,111.0681955,208.5318045
9/1/2016,27.6,85,60.56819554,158.0318045
10/1/2016,27,88,23.76819554,121.2318045
11/1/2016,27.9,82,107.8681955,205.3318045
12/1/2016,27.1,80,63.66819554,161.1318045
1/1/2017,27.3,76,107.3681955,204.8318045
2/1/2017,27.1,76,139.2681955,236.7318045
3/1/2017,27.9,76,189.7681955,287.2318045
4/1/2017,29.3,77,196.3681955,293.8318045
5/1/2017,29,82,116.6681955,214.1318045
6/1/2017,28.7,82,98.86819554,196.3318045
7/1/2017,28,84,94.96819554,192.4318045
8/1/2017,27.7,86,103.5681955,201.0318045
9/1/2017,28.2,83,92.16819554,189.6318045
10/1/2017,27.5,86,61.46819554,158.9318045
11/1/2017,27.7,83,77.06819554,174.5318045
12/1/2017,26.3,79,84.66819554,182.1318045
1/1/2018,26.7,80,79.36819554,176.8318045
2/1/2018,26.6,76,147.8681955,245.3318045
3/1/2018,28.1,76,196.9681955,294.4318045
4/1/2018,29.1,76,199.5681955,297.0318045
5/1/2018,29.3,80,143.8681955,241.3318045
6/1/2018,28.1,84,74.46819554,171.9318045
7/1/2018,27.5,86,67.66819554,165.1318045
8/1/2018,28,84,86.86819554,184.3318045
9/1/2018,27.6,85,85.46819554,182.9318045
10/1/2018,28.1,81,125.2681955,222.7318045
11/1/2018,28.1,80,93.16819554,190.6318045
12/1/2018,27.8,80,78.36819554,175.8318045
1/1/2019,27,77,131.5681955,229.0318045
2/1/2019,27.4,76,174.3681955,271.8318045
3/1/2019,28.6,77,208.3681955,305.8318045
4/1/2019,29.9,77,196.5681955,294.0318045
5/1/2019,29.5,82,141.9681955,239.4318045
6/1/2019,28.5,85,61.96819554,159.4318045
7/1/2019,28.2,85,92.36819554,189.8318045
8/1/2019,27.6,86,85.06819554,182.5318045
9/1/2019,27.9,84,81.56819554,179.0318045
10/1/2019,27.9,85,72.96819554,170.4318045
11/1/2019,27.8,80,108.3681955,205.8318045
12/1/2019,26.5,76,123.9681955,221.4318045
1/1/2020,27.2,75,159.5681955,257.0318045
2/1/2020,27.2,72,170.0681955,267.5318045
3/1/2020,28.4,75,209.2681955,306.7318045
4/1/2020,29.8,76,193.9681955,291.4318045
5/1/2020,30.3,76,178.8681955,276.3318045
6/1/2020,28.5,82,48.26819554,145.7318045
7/1/2020,28.5,81,110.8681955,208.3318045
8/1/2020,28.4,82,121.1681955,218.6318045
9/1/2020,27.9,83,86.16819554,183.6318045
10/1/2020,27.1,84,29.26819554,126.7318045
11/1/2020,27.7,82,95.46819554,192.9318045
12/1/2020,27,78,96.06819554,193.5318045
1/1/2021,25.7,74,79.06819554,176.5318045
2/1/2021,26.3,76,139.2681955,236.7318045
3/1/2021,28.1,74,184.9681955,282.4318045
4/1/2021,29,80,148.7681955,246.2318045
5/1/2021,29,82,124.3681955,221.8318045
6/1/2021,28.6,82,138.1681955,235.6318045
7/1/2021,28.1,84,92.06819554,189.5318045
8/1/2021,28,84,97.76819554,195.2318045
9/1/2021,27.4,84,62.86819554,160.3318045
10/1/2021,28,82,78.06819554,175.5318045
11/1/2021,27.5,83,48.16819554,145.6318045
12/1/2021,26.9,74,91.66819554,189.1318045
1/1/2022,27.1,75,141.5681955,239.0318045
2/1/2022,27.9,76,120.5681955,218.0318045
3/1/2022,28,79,143.4681955,240.9318045
4/1/2022,28.7,77,162.1681955,259.6318045
5/1/2022,28.6,80,95.16819554,192.6318045
6/1/2022,28.7,79,127.4681955,224.9318045
7/1/2022,27.9,81,77.46819554,174.9318045
8/1/2022,27.8,81,97.26819554,194.7318045
9/1/2022,27.4,83,44.06819554,141.5318045
10/1/2022,27.4,79,53.66819554,151.1318045
11/1/2022,27.7,81,54.76819554,152.2318045
12/1/2022,26.6,73,78.16819554,175.6318045
1/1/2023,26.5,71,66.56819554,164.0318045
2/1/2023,27,71,114.7681955,212.2318045
3/1/2023,26.9,70,217.5681955,315.0318045
4/1/2023,29.6,72,164.3681955,261.8318045
5/1/2023,29.4,77,133.8681955,231.3318045
6/1/2023,28.7,83,92.96819554,190.4318045
7/1/2023,28,88,56.76819554,154.2318045
8/1/2023,29,83,172.1681955,269.6318045
9/1/2023,27.5,89,40.36819554,137.8318045
10/1/2023,28,84,96.36819554,193.8318045
11/1/2023,27.9,81,63.66819554,161.1318045
12/1/2023,28,76,112.4681955,209.9318045
